City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
79,Cabo San Lucas,22.8909,-109.9124,82.4,28,1,17.27,MX,clear sky
80,Bardiyah,31.7561,25.0865,58.51,83,10,11.86,LY,clear sky
81,Yaan,7.3833,8.5667,79.75,61,100,12.33,NG,overcast clouds
82,Lagoa,39.05,-27.9833,59.7,85,19,2.95,PT,few clouds
83,Vila,42.0304,-8.1588,44.01,84,89,1.99,PT,overcast clouds
84,Saint-Joseph,-21.3667,55.6167,75.2,73,0,4.61,RE,clear sky
85,Touros,-5.1989,-35.4608,77.0,83,20,3.44,BR,few clouds
86,Aklavik,68.2191,-135.0107,3.2,66,100,3.44,CA,overcast clouds
87,Sistranda,63.7256,8.834,33.8,93,75,12.66,NO,light snow
88,Koslan,63.4564,48.8989,35.42,86,100,11.14,RU,overcast clouds
89,Matara,5.9485,80.5353,75.74,88,100,6.26,LK,overcast clouds
90,Punta Arenas,-53.15,-70.9167,48.2,87,90,9.22,CL,overcast clouds
91,Hobart,-42.8794,147.3294,66.99,59,20,4.61,AU,few clouds
92,Yellowknife,62.456,-114.3525,15.8,73,90,14.97,CA,snow
93,Avarua,-21.2078,-159.775,82.4,69,83,11.5,CK,broken clouds
94,Mahebourg,-20.4081,57.7,75.2,94,75,12.66,MU,light rain
95,El Dorado,38.7666,-120.5177,62.01,53,4,6.17,US,clear sky
96,Havelock,34.8791,-76.9013,64.99,70,53,1.79,US,broken clouds
97,Half Moon Bay,37.4636,-122.4286,59.0,81,90,9.22,US,haze
98,Kendari,-3.945,122.4989,84.43,72,13,3.27,ID,few clouds
99,Roald,62.5833,6.1333,35.01,93,90,11.5,NO,light snow
100,Tabuk,17.4189,121.4443,77.63,63,10,5.57,PH,clear sky
101,Gornyy,55.1153,83.9059,26.29,94,32,9.24,RU,scattered clouds
102,Faanui,-16.4833,-151.75,81.07,62,82,10.16,PF,broken clouds
103,Ribeira Grande,38.5167,-28.7,60.04,88,8,7.23,PT,clear sky
